ICS	PART NAME	CODE	"Unit Price
Purchase
USD"	" Unit Price
Sales
PHP "	L0035696		L0035704		9235 9242 9273 9289 9305		L0035721		"L0035732
L0035734"		S0001131		L0035786								TOTAL PO QTY	TOTAL PO AMT
0061950700	TPS-PN-C/T4-16-CFK/528 Screw	IP	  0.0082 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0204294000	TPS-PN-C/T4-14-CF8/579 Tapping Screw	IP	  0.0069 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0458812601	W4223M/HL UNIT HEADLIGHT	IP	  4.0033 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0516617900	W4758M/GASKET Rubber L/R	IP	  0.0251 	  2.1800 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0569222900	TPS-WP-SP-C/T4-14-CF8/623 Screw	IP	  0.0289 	  2.6200 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
0900044500	PIVOT-SRW/8-9-CF8/069 Screw	IP	  0.0429 	  2.9900 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  26,000 	  77,740 	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  26,000 	  77,740
0942512800	TPS-PN-C/T4-16-CFK/695	IP	  0.0068 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
1873246700	AS and GR/M5-52-CF8/489	IP	  0.1631 	  20.1000 	  116,000 	  2,331,600 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  116,000 	  2,331,600
2063588600	TPS-PN-C/T4-16-CF8/521 Tapping Screw	IP	  0.0074 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
2589207002	W4758L/CORD CP NEW	IP	  0.3338 	  25.8600 	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   	  -   		  -   		  -   		  -   	  -   	  -
